dataset,split,attack_type,label,score,prediction,correct
ToN-IoT,test,password,1,0.9999547830507235,1,True
ToN-IoT,test,normal,0,0.0002720812553611972,0,True
ToN-IoT,test,password,1,0.9990277078832175,1,True
ToN-IoT,test,normal,0,0.013490184083865743,0,True
ToN-IoT,test,normal,0,0.0005984941125160678,0,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
ToN-IoT,test,ddos,1,0.999730829149466,1,True
ToN-IoT,test,ransomware,1,0.9990073288779338,1,True
ToN-IoT,test,dos,1,0.999953805371339,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,password,1,0.9992131522240671,1,True
ToN-IoT,test,dos,1,0.9999714873086696,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,scanning,1,0.9999498578944169,1,True
ToN-IoT,test,mitm,1,0.969715813424038,1,True
ToN-IoT,test,normal,0,0.013490184083865743,0,True
ToN-IoT,test,normal,0,0.0006276122135688365,0,True
ToN-IoT,test,dos,1,0.999953780739972,1,True
ToN-IoT,test,normal,0,0.022169336547900268,0,True
ToN-IoT,test,normal,0,0.0010752845844118168,0,True
ToN-IoT,test,normal,0,0.005034812051353377,0,True
ToN-IoT,test,xss,1,0.9988585533846555,1,True
ToN-IoT,test,ransomware,1,0.9983417409587134,1,True
ToN-IoT,test,injection,1,0.9994170640673796,1,True
ToN-IoT,test,password,1,0.999953780739972,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,normal,0,0.00021968115656992022,0,True
ToN-IoT,test,injection,1,0.9982126131042087,1,True
ToN-IoT,test,ransomware,1,0.9990724726751168,1,True
ToN-IoT,test,normal,0,0.04067506070897015,0,True
ToN-IoT,test,dos,1,0.9999547830507235,1,True
ToN-IoT,test,normal,0,0.0013486357725796935,0,True
ToN-IoT,test,backdoor,1,0.9999547830507235,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,dos,1,0.999954017271081,1,True
ToN-IoT,test,injection,1,0.9896370888457813,1,True
ToN-IoT,test,xss,1,0.9876861423872125,1,True
ToN-IoT,test,injection,1,0.9982785147269968,1,True
ToN-IoT,test,normal,0,0.0003745335924519176,0,True
ToN-IoT,test,injection,1,0.9993974137213358,1,True
ToN-IoT,test,scanning,1,0.9990095246539568,1,True
ToN-IoT,test,normal,0,0.0001883626228552068,0,True
ToN-IoT,test,normal,0,0.0002401197110517442,0,True
