protocol,model,tn,fp,fn,tp,figure_pdf,figure_png
E1_UNSW_within,Logistic Regression,24920,12080,6190,39142,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e1_unsw_within__logistic_regression.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e1_unsw_within__logistic_regression.png
E1_UNSW_within,Random Forest,29970,7030,1956,43376,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e1_unsw_within__random_forest.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e1_unsw_within__random_forest.png
E1_UNSW_within,XGBoost,33162,3838,3067,42265,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e1_unsw_within__xgboost.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e1_unsw_within__xgboost.png
E1_UNSW_within,LightGBM,32523,4477,2756,42576,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e1_unsw_within__lightgbm.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e1_unsw_within__lightgbm.png
E2_ToN_within,Logistic Regression,8174,234,818,28869,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e2_ton_within__logistic_regression.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e2_ton_within__logistic_regression.png
E2_ToN_within,Random Forest,8358,50,105,29582,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e2_ton_within__random_forest.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e2_ton_within__random_forest.png
E2_ToN_within,XGBoost,8367,41,151,29536,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e2_ton_within__xgboost.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e2_ton_within__xgboost.png
E2_ToN_within,LightGBM,8374,34,112,29575,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e2_ton_within__lightgbm.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e2_ton_within__lightgbm.png
E3_UNSW_to_ToN,Logistic Regression,2983,5425,21402,8285,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e3_unsw_to_ton__logistic_regression.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e3_unsw_to_ton__logistic_regression.png
E3_UNSW_to_ToN,Random Forest,3040,5368,19727,9960,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e3_unsw_to_ton__random_forest.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e3_unsw_to_ton__random_forest.png
E3_UNSW_to_ToN,XGBoost,610,7798,15075,14612,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e3_unsw_to_ton__xgboost.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e3_unsw_to_ton__xgboost.png
E3_UNSW_to_ToN,LightGBM,435,7973,17243,12444,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e3_unsw_to_ton__lightgbm.pdf,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\figures\baselines\cm_e3_unsw_to_ton__lightgbm.png
