protocol,model,split,test_name,train_rows,eval_rows,train_attack_percent,eval_attack_percent,train_time_sec,model_path,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,fpr,fnr,tn,fp,fn,tp
E1_UNSW_within,Logistic Regression,validation,validation,140272,35069,68.062,68.063,13.963,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e1_unsw_within__logistic_regression.joblib,0.870512,0.86405,0.924344,0.881939,0.902643,0.954647,0.9777,0.711431,0.153839,0.118061,9477,1723,2818,21051
E1_UNSW_within,Logistic Regression,test,UNSW test,140272,82332,68.062,55.06,13.963,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e1_unsw_within__logistic_regression.joblib,0.778094,0.768483,0.764164,0.863452,0.810779,0.908334,0.93466,0.550898,0.326486,0.136548,24920,12080,6190,39142
E1_UNSW_within,Random Forest,validation,validation,140272,35069,68.062,68.063,5.58,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e1_unsw_within__random_forest.joblib,0.945222,0.94059,0.965671,0.953412,0.959502,0.9908,0.995591,0.875069,0.072232,0.046588,10391,809,1112,22757
E1_UNSW_within,Random Forest,test,UNSW test,140272,82332,68.062,55.06,5.58,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e1_unsw_within__random_forest.joblib,0.890857,0.883426,0.860532,0.956852,0.90614,0.978779,0.984599,0.782891,0.19,0.043148,29970,7030,1956,43376
E1_UNSW_within,XGBoost,validation,validation,140272,35069,68.062,68.063,1.821,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e1_unsw_within__xgboost.joblib,0.934301,0.939842,0.977757,0.924505,0.950385,0.990015,0.99522,0.85633,0.044821,0.075495,10698,502,1802,22067
E1_UNSW_within,XGBoost,test,UNSW test,140272,82332,68.062,55.06,1.821,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e1_unsw_within__xgboost.joblib,0.916132,0.914307,0.916752,0.932344,0.924482,0.980106,0.98559,0.830353,0.10373,0.067656,33162,3838,3067,42265
E1_UNSW_within,LightGBM,validation,validation,140272,35069,68.062,68.063,1.624,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e1_unsw_within__lightgbm.joblib,0.940375,0.943782,0.977044,0.93435,0.95522,0.991041,0.995718,0.868095,0.046786,0.06565,10676,524,1567,22302
E1_UNSW_within,LightGBM,test,UNSW test,140272,82332,68.062,55.06,1.624,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e1_unsw_within__lightgbm.joblib,0.912148,0.909102,0.904852,0.939204,0.921708,0.981196,0.986367,0.822457,0.121,0.060796,32523,4477,2756,42576
E2_ToN_within,Logistic Regression,validation,validation,114284,38095,77.929,77.929,5.666,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e2_ton_within__logistic_regression.joblib,0.971177,0.971021,0.991541,0.971301,0.981316,0.989862,0.996633,0.919256,0.029258,0.028699,8162,246,852,28835
E2_ToN_within,Logistic Regression,test,ToN-IoT test,114284,38095,77.929,77.929,5.666,F:\MBZUAI UAE\16-Conference\2-WiMob26\output\models\baselines\e2_ton_within__logistic_regression.joblib,0.972385,0.972308,0.99196,0.972446,0.982106,0.990301,0.996686,0.922545,0.027831,0.027554,8174,234,818,28869
