dataset,column,dtype,missing_count,missing_percent,unique_values,sample_values
unsw_train,id,int64,0,0.0,175341,"['1', '2', '3', '4', '5']"
unsw_train,dur,float64,0,0.0,74039,"['0.121478', '0.649902', '1.623129', '1.681642', '0.449454']"
unsw_train,proto,object,0,0.0,133,"['tcp', 'udp', 'arp', 'ospf', 'icmp']"
unsw_train,service,object,0,0.0,13,"['-', 'ftp', 'smtp', 'snmp', 'http']"
unsw_train,state,object,0,0.0,9,"['FIN', 'INT', 'CON', 'ECO', 'REQ']"
unsw_train,spkts,int64,0,0.0,480,"['6', '14', '8', '12', '10']"
unsw_train,dpkts,int64,0,0.0,443,"['4', '38', '16', '12', '6']"
unsw_train,sbytes,int64,0,0.0,7214,"['258', '734', '364', '628', '534']"
unsw_train,dbytes,int64,0,0.0,6660,"['172', '42014', '13186', '770', '268']"
unsw_train,rate,float64,0,0.0,76991,"['74.08749', '78.473372', '14.170161', '13.677108', '33.373826']"
unsw_train,sttl,int64,0,0.0,11,"['252', '62', '254', '0', '1']"
unsw_train,dttl,int64,0,0.0,6,"['254', '252', '0', '29', '60']"
unsw_train,sload,float64,0,0.0,80885,"['14158.94238', '8395.112305', '1572.271851', '2740.178955', '8561.499023']"
unsw_train,dload,float64,0,0.0,77474,"['8495.365234', '503571.3125', '60929.23047', '3358.62207', '3987.059814']"
unsw_train,sloss,int64,0,0.0,409,"['0', '2', '1', '3', '28']"
unsw_train,dloss,int64,0,0.0,370,"['0', '17', '6', '3', '1']"
unsw_train,sinpkt,float64,0,0.0,76161,"['24.2956', '49.915', '231.875571', '152.876547', '47.750333']"
unsw_train,dinpkt,float64,0,0.0,74245,"['8.375', '15.432865', '102.737203', '90.235726', '75.659602']"
unsw_train,sjit,float64,0,0.0,77532,"['30.177547', '61.426934', '17179.58686', '259.080172', '2415.837634']"
unsw_train,djit,float64,0,0.0,76831,"['11.830604', '1387.77833', '11420.92623', '4991.784669', '115.807']"
unsw_train,swin,int64,0,0.0,13,"['255', '0', '31', '232', '14']"
unsw_train,stcpb,int64,0,0.0,75265,"['621772692', '1417884146', '2116150707', '1107119177', '2436137549']"
unsw_train,dtcpb,int64,0,0.0,75089,"['2202533631', '3077387971', '2963114973', '1047442890', '1977154190']"
unsw_train,dwin,int64,0,0.0,7,"['255', '0', '244', '70', '48']"
unsw_train,tcprtt,float64,0,0.0,43319,"['0.0', '0.111897', '0.128381', '0.172934', '0.143337']"
unsw_train,synack,float64,0,0.0,40142,"['0.0', '0.061458', '0.071147', '0.119331', '0.069136']"
unsw_train,ackdat,float64,0,0.0,37708,"['0.0', '0.050439', '0.057234', '0.053603', '0.074201']"
unsw_train,smean,int64,0,0.0,1357,"['43', '52', '46', '53', '345']"
unsw_train,dmean,int64,0,0.0,1328,"['43', '1106', '824', '64', '45']"
unsw_train,trans_depth,int64,0,0.0,11,"['0', '1', '2', '80', '155']"
unsw_train,response_body_len,int64,0,0.0,2386,"['0', '103', '109', '5532', '704']"
unsw_train,ct_srv_src,int64,0,0.0,52,"['1', '43', '7', '11', '2']"
unsw_train,ct_state_ttl,int64,0,0.0,5,"['0', '1', '2', '3', '6']"
unsw_train,ct_dst_ltm,int64,0,0.0,50,"['1', '2', '3', '6', '7']"
unsw_train,ct_src_dport_ltm,int64,0,0.0,47,"['1', '2', '3', '6', '10']"
unsw_train,ct_dst_sport_ltm,int64,0,0.0,32,"['1', '2', '3', '23', '37']"
unsw_train,ct_dst_src_ltm,int64,0,0.0,54,"['1', '2', '3', '40', '4']"
unsw_train,is_ftp_login,int64,0,0.0,4,"['0', '1', '2', '4']"
unsw_train,ct_ftp_cmd,int64,0,0.0,4,"['0', '1', '2', '4']"
unsw_train,ct_flw_http_mthd,int64,0,0.0,11,"['0', '1', '4', '2', '9']"
unsw_train,ct_src_ltm,int64,0,0.0,50,"['1', '2', '3', '6', '12']"
unsw_train,ct_srv_dst,int64,0,0.0,52,"['1', '6', '39', '3', '2']"
unsw_train,is_sm_ips_ports,int64,0,0.0,2,"['0', '1']"
unsw_train,attack_cat,object,0,0.0,10,"['Normal', 'Backdoor', 'Analysis', 'Fuzzers', 'Shellcode']"
unsw_train,label,int64,0,0.0,2,"['0', '1']"
