feature_group,mean_abs_shap,mean_signed_shap,median_abs_shap,max_abs_shap,encoded_features,rank,protocol,model,test_name,sample_size
state,1.844170342337666,-0.571546251020109,1.6952455051213045,4.972884474061701,22,1,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
duration,1.3374250136147627,-0.07651691813629449,1.3061168606826494,2.416765832176998,1,2,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
proto,0.9967636233531068,-0.11632371387393856,0.5848604505462953,9.86686418998609,133,3,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
service,0.727901589605338,-0.15354620008256256,0.7737077138872077,3.5277654771545666,17,4,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
src_bytes_per_pkt,0.539368220505896,-0.07409866430652308,0.4694725961656144,1.7944604989688715,1,5,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
src_bytes,0.42046701669507514,-0.2536732002108631,0.35253132069782545,1.97908460191045,1,6,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
pkts_per_sec,0.4203961581737259,-0.02221626465762549,0.2589297710695746,2.5066488350194427,1,7,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
bytes_per_sec,0.4156667735817875,-0.12643644244553562,0.22412637496908075,2.2179997195153285,1,8,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
total_bytes,0.3646083863380031,-0.04961611250748495,0.3656300274850089,1.3888015335485304,1,9,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
total_pkts,0.31129917461277656,-0.03443633119307988,0.19596936362716982,1.8375173786425034,1,10,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
src_to_dst_pkt_ratio,0.26676093811878593,-0.05978806055271625,0.208642148612234,1.260574864762078,1,11,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
dst_bytes_per_pkt,0.22456453107581079,-0.05735536353203572,0.16459584250906928,1.326907117704916,1,12,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
src_pkts,0.2173299890880049,-0.036662854061023854,0.1597618560934368,2.212582834112676,1,13,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
dst_pkts,0.18300358026334726,-0.050910038736625744,0.10348845945496991,1.4385613601852394,1,14,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
dst_bytes,0.18260377899120495,-0.08450840633525836,0.07278778464444381,1.251422541540112,1,15,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
pkt_imbalance,0.08148420921992654,-0.005661758904072195,0.05717178098680392,0.6687569217647429,1,16,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
byte_imbalance,0.07843093147379974,-0.0417185612693292,0.03759733556672828,0.6433066973380788,1,17,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
src_to_dst_byte_ratio,0.07438802184745572,-0.055953026460185774,0.029255644220361456,0.4158195147105355,1,18,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
