protocol,attack_type,samples,metric,detection_rate,predicted_attack_percent,correct_percent
E5_Pooled_to_ToN,mitm,208,recall,0.8798076923076923,87.98076923076923,87.98076923076923
E5_Pooled_to_ToN,ddos,3999,recall,0.9804951237809452,98.04951237809452,98.04951237809452
E5_Pooled_to_ToN,dos,3799,recall,0.9973677283495656,99.73677283495655,99.73677283495655
E5_Pooled_to_ToN,injection,3993,recall,0.9982469321312296,99.82469321312296,99.82469321312296
E5_Pooled_to_ToN,ransomware,2947,recall,0.99830335934849,99.830335934849,99.830335934849
E5_Pooled_to_UNSW,fuzzers,6062,recall,0.5682942923127681,56.829429231276805,56.829429231276805
E5_Pooled_to_UNSW,shellcode,378,recall,0.708994708994709,70.8994708994709,70.8994708994709
E5_Pooled_to_UNSW,worms,44,recall,0.9545454545454546,95.45454545454544,95.45454545454544
E5_Pooled_to_UNSW,exploits,11132,recall,0.9608336327703916,96.08336327703915,96.08336327703915
E5_Pooled_to_UNSW,dos,4089,recall,0.9696747370995352,96.96747370995354,96.96747370995354
